id,rota,tipo_registro,status_institucional,proveniencia_sintese,fonte_url_registrada,n_fontes_textuais,n_urls_documentais,fontes_urls_alinhadas,validacao_documental,validacao_campo,participacao_comunitaria,consentimento,trace_id,source_id_dataset
ROTA-PROP-001,Rota Pantaneira do Banho de São João e da Viola de Cocho,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,2,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-a68feeed73aaafc799be7c69,SRC-fcd7ca8fba726c6a
ROTA-PROP-002,Rota da Memória Ferroviária da Noroeste,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-1608bc5f22803cb30ca90008,SRC-fcd7ca8fba726c6a
ROTA-PROP-003,Rota Guarani Kaiowá dos Jardins Etnobotânicos,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,3,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-33a8310aa6a270af81422009,SRC-fcd7ca8fba726c6a
ROTA-PROP-004,Rota Quilombola das Festas e da Ancestralidade,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-930216ad44a86dbca588aeb5,SRC-fcd7ca8fba726c6a
ROTA-PROP-005,Rota Geocultural Bodoquena Pantanal,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,3,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-a3a844c3287059f119fe8c91,SRC-fcd7ca8fba726c6a
ROTA-PROP-006,"Rota do Tereré, da Erva Mate e da Fronteira",Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-f468d269d53215d17c8c81d8,SRC-fcd7ca8fba726c6a
ROTA-PROP-007,Rota Gastronômica das Migrações e Identidades de MS,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,4,3,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-0ccaa1e419481125bee4519b,SRC-fcd7ca8fba726c6a
ROTA-EST-008,Rota Histórica da Retirada da Laguna,Itinerário histórico reconhecido documentalmente,Reconhecido no Anexo I do Decreto Estadual nº 12.897/2009,Governo do Estado de Mato Grosso do Sul,sim,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-4fb8a6e2e56ccd089828c40a,SRC-fcd7ca8fba726c6a
ROTA-EST-009,Rota dos Pioneiros e das Memórias do Rio Paraná,Rota institucional incorporada ao estudo,Reconhecida e promovida pela Fundtur MS e Rede Brasileira de Trilhas,Fundação de Turismo de Mato Grosso do Sul,sim,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-1eb788aa2899dc37cde2a14e,SRC-fcd7ca8fba726c6a
ROTA-EST-010,Rota do Cerrado,Rota institucional incorporada ao estudo,Lançada pela Fundtur MS em 2025,Fundação de Turismo de Mato Grosso do Sul,sim,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-23608d8ae3c8c089ab62257e,SRC-fcd7ca8fba726c6a
