referencia_index,grupo_bibliografico,url,camadas_antes,camadas_depois,quantidade_camadas,metodo_vinculacao,confianca,observacao
0,"Projeto, equipe e PRICI",https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2,7,grupo_tematico_curado,alta,
1,"Projeto, equipe e PRICI",https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2,7,grupo_tematico_curado,alta,
2,"Projeto, equipe e PRICI",https://orcid.org/0000-0002-1446-2252,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,4,vinculo_contextual_repositorio,contextual,Referência de autoria/equipe vinculada aos principais produtos autorais do atlas.
3,"Projeto, equipe e PRICI",https://www.uems.br/ppg/ppgdrs/Corpo-Docente,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,4,vinculo_contextual_repositorio,contextual,Referência de autoria/equipe vinculada aos principais produtos autorais do atlas.
4,"Projeto, equipe e PRICI",https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,4,vinculo_contextual_repositorio,contextual,Referência de autoria/equipe vinculada aos principais produtos autorais do atlas.
5,"Projeto, equipe e PRICI",https://orcid.org/0000-0001-9975-9612,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,4,vinculo_contextual_repositorio,contextual,Referência de autoria/equipe vinculada aos principais produtos autorais do atlas.
6,"Projeto, equipe e PRICI",https://orcid.org/0000-0003-2299-9102,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2,4,vinculo_contextual_repositorio,contextual,Referência de autoria/equipe vinculada aos principais produtos autorais do atlas.
7,"Território, municípios e população",https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip,municipios_limites,municipios_limites | limite_operacional_ipg_fase3,2,regra_explicita,alta,
8,"Território, municípios e população",https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,municipios_sedes | localidades_populacoes,municipios_sedes | localidades_populacoes | limite_operacional_ipg_fase3,3,regra_explicita,alta,
9,"Território, municípios e população",https://cidades.ibge.gov.br,municipios_sedes | localidades_populacoes,municipios_sedes | localidades_populacoes | limite_operacional_ipg_fase3,3,regra_explicita,alta,
