ordem,id,camada,grupo,tipo_origem,modalidade,geometria_esperada,estado_dados_v20,registros_locais,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,data_corte,atualizacao_fonte,crs,escala_resolucao,nivel_validacao,precisao,restricao_uso,limitacoes,responsavel_compilacao,versao
1,municipios_sedes,Sedes municipais e população estimada 2025,territorio,local,embedded,Point,incorporada no pacote,0,IBGE e compilação municipal do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
2,municipios_limites,Limites municipais,territorio,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,PIN MS e IMASUL,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/ESTADO_DE_MS_POLITICO/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
3,localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
4,localidades_populacoes,Localidades e populações consolidadas,territorio,local,embedded,Mixed,incorporada no pacote,0,IBGE e núcleo local consolidado da v1.6.0,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
5,localidades_ibge_completas,Localidades completas do IBGE,territorio,download oficial,ibgezip,Conforme fonte,processamento sob demanda,0,IBGE Localidades do Brasil 2022,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
6,assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,territorio,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"INCRA, projetos de assentamento publicados no PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/assentamentos_incra/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
7,localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,local,embedded,Point,incorporada no pacote,0,"IBGE Censo Demográfico 2022, atualização de 19 de setembro de 2025",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,Aplicar governança de dados e participação comunitária quando houver uso interpretativo ou turístico,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
8,localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,local,embedded,Point,incorporada no pacote,0,"IBGE Censo Demográfico 2022, arquivo de 10 de julho de 2024",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
9,terras_indigenas_poligonos,Terras indígenas e fases administrativas,comunidades,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,FUNAI. Polígonos oficiais e fases administrativas. Serviço sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/lim_terra_indigena_a/FeatureServer/12,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,https://geoserver.funai.gov.br/geoserver/Funai/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=Funai%3Aterra_indigena&outputFormat=SHAPE-ZIP&CQL_FILTER=uf_sigla%3D%27MS%27,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,Aplicar governança de dados e participação comunitária quando houver uso interpretativo ou turístico,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
10,municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,mobilidade,local,embedded,Point,incorporada no pacote,0,Receita Federal do Brasil e sedes municipais IBGE. Os pontos representam municípios e não a localização exata dos postos,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
