ordem,id_camada,camada,grupo,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,nivel_validacao,data_corte,versao
1,municipios_sedes,Sedes municipais e população estimada 2025,territorio,IBGE e compilação municipal do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
2,municipios_limites,Limites municipais,territorio,PIN MS e IMASUL,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/ESTADO_DE_MS_POLITICO/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
3,localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
4,localidades_populacoes,Localidades e populações consolidadas,territorio,IBGE e núcleo local consolidado da v1.6.0,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
5,localidades_ibge_completas,Localidades completas do IBGE,territorio,IBGE Localidades do Brasil 2022,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
6,assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,territorio,"INCRA, projetos de assentamento publicados no PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/assentamentos_incra/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
7,localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,"IBGE Censo Demográfico 2022, atualização de 19 de setembro de 2025",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
8,localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,"IBGE Censo Demográfico 2022, arquivo de 10 de julho de 2024",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
9,terras_indigenas_poligonos,Terras indígenas e fases administrativas,comunidades,FUNAI. Polígonos oficiais e fases administrativas. Serviço sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/01_Publicacoes_Bases/lim_terra_indigena_a/FeatureServer/12,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,https://geoserver.funai.gov.br/geoserver/Funai/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=Funai%3Aterra_indigena&outputFormat=SHAPE-ZIP&CQL_FILTER=uf_sigla%3D%27MS%27,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
10,municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,mobilidade,Receita Federal do Brasil e sedes municipais IBGE. Os pontos representam municípios e não a localização exata dos postos,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
11,retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,patrimonio,Decreto Estadual nº 12.897 de 2009 e sedes municipais IBGE. Não constitui uma linha oficial de rota,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
12,territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,comunidades,"INCRA, camada sincronizada pelo PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_quilombos_incra_a/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
13,rodovias_estaduais,Rodovias estaduais,infra,"PIN MS, AGRAER e AGESUL",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
14,rodovias_federais,Rodovias federais,infra,PIN MS e DNIT,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/2,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
15,estradas_vicinais,Estradas vicinais,infra,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
16,rede_hidrica,Rede hídrica,infra,"PIN MS, AGRAER e ANA",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
17,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,Banco de Referências Culturais do IPHAN,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
18,sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/MapServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
19,sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
20,escolas,Escolas do Censo Escolar,educacao,INEP Censo Escolar 2025,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
21,campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",educacao,"Captura espacial OpenStreetMap. Validação institucional por e-MEC, UFMS, UEMS, UFGD e IFMS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://emec.mec.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
22,geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,Levantamento do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
23,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,Serviço Geológico do Brasil. Registros com status Em análise na data de corte,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
24,geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,geodiversidade,"Governo de Mato Grosso do Sul. Anexo I do Decreto Estadual nº 12.897/2009. 54 registros documentais, 40 pontos georreferenciados e 14 geometrias pendentes",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
25,mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,geodiversidade,"Serviço Geológico do Brasil, unidades litoestratigráficas do mapeamento estadual 1:1.000.000 [2006]",https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
26,mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,geodiversidade,"Serviço Geológico do Brasil. Recorte vetorial do Atlas Hidrogeológico e referência ao mapa estadual 2024, escala 1:1.000.000",https://geoportal.sgb.gov.br/server/rest/services/hidrologia/Mapa_Hidrogeologico_Atlas_Brasil/MapServer/1,https://rigeo.sgb.gov.br/handle/doc/25365,https://rigeo.sgb.gov.br/bitstreams/8b3ea851-588c-422d-8dd6-2d1e508be11d/download,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
27,sistema_aquifero_guarani_ana,Sistema Aquífero Guarani,geodiversidade,ANA. Sistemas Aquíferos do Brasil. Geometria local ainda não incorporada nesta versão,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
28,mapa_geomorfologico_ibge,Mapa geomorfológico do estado,geodiversidade,"IBGE BDiA. Geomorfologia, unidades do relevo e dados vetoriais oficiais",https://bdiaweb.ibge.gov.br/,https://www.ibge.gov.br/geociencias/informacoes-ambientais/geomorfologia/10870-geomorfologia.html,https://geoftp.ibge.gov.br/informacoes_ambientais/geomorfologia/,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
29,mapa_altimetria_ms,Mapa de altimetria e hipsometria,geodiversidade,SEMADESC e PIN MS. Altimetria de Mato Grosso do Sul,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/5,https://www.dados.ms.gov.br/dataset/altimetria-ms,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
30,mapa_declividade_topodata,Mapa de declividade e formas do terreno,geodiversidade,INPE TOPODATA. Declividade e variáveis geomorfométricas derivadas do SRTM,https://data.inpe.br/dados/topodata/,https://www.dsr.inpe.br/topodata/acesso.php,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
31,mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,geodiversidade,Serviço Geológico do Brasil. Ocorrências minerais do GeoSGB,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
32,lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,Proposta histórica SGB CPRM e levantamento do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
33,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,"Decreto Estadual nº 12.897/2009, GEOSSIT, SIGEP e fontes técnicas declaradas",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
34,festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,Inventário documental com data de corte em 6 de agosto de 2026,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
35,rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,"Projeto de pesquisa científica. Fontes específicas por registro. A seleção e a geometria comparativa são autorais, revisáveis e não aprovadas pelo PRICI",,,,"CC BY 4.0 para a composição, atributos e geometria autorais; bases documentais mantêm seus termos originais",pesquisa exploratória e revisável,2026-08-06,v1.6.0
36,pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,"Integração local de patrimônio, geodiversidade, festividades, fronteira e memória histórica",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,documental,2026-08-06,v1.6.0
