municipio,codigo_ibge,indice_disponibilidade,classe_disponibilidade,diversidade_camadas,registros_ponderados,populacao_2025,contagens_por_camada,pesos_por_camada,formula,unidade_analise,versao_metodo,data_calculo,natureza_indicador,rank_base,rank_p05_sensibilidade,rank_mediano_sensibilidade,rank_p95_sensibilidade,estabilidade_classe_pct,analise_sensibilidade,limitacao
Campo Grande,5002704,53.19,Disponibilidade documental muito alta,4,46.0,962883,"{""patrimonio_imaterial"": 1, ""festividades"": 4, ""localidades_indigenas"": 16, ""localidades_quilombolas"": 3}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,7,7,7.0,9,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Alcinópolis,5000252,2.93,Base local insuficiente,0,0.0,4649,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,77,77,77.0,77,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Anaurilândia,5000807,3.11,Disponibilidade documental emergente,0,0.0,7688,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,70,70,70.0,70,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Antônio João,5000906,21.79,Disponibilidade documental alta,1,18.0,9717,"{""localidades_indigenas"": 12}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,20,19,20.0,21,95.8,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Bandeirantes,5001508,3.14,Disponibilidade documental emergente,0,0.0,8342,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,69,69,69.0,69,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Bodoquena,5002159,30.36,Disponibilidade documental muito alta,2,26.0,8887,"{""geossitios_decreto"": 8, ""localidades_indigenas"": 4}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,16,16,16.0,17,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Caracol,5002803,2.97,Base local insuficiente,0,0.0,5096,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,75,75,75.0,75,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Corguinho,5003108,5.55,Disponibilidade documental emergente,1,2.0,4892,"{""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,42,41,42.0,45,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Douradina,5003504,17.11,Disponibilidade documental alta,1,13.5,5768,"{""localidades_indigenas"": 9}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,24,23,24.0,26,88.2,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Figueirão,5003900,9.06,Disponibilidade documental média,2,5.0,3751,"{""festividades"": 1, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,34,33,34.0,35,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
