id_decreto,numero,nome,municipio,interesse_oficial,descricao_oficial_resumida,localizacao_oficial,tipo_geometria_prevista,status_geometria,latitude,longitude,fonte_coordenada,confianca_coordenada,status_inventario,fonte_decreto,publicacao,data_compilacao,registro_sigep,numero_sigep,situacao_sigep,fonte_sigep
DEC12897-01,1,Baía das Garças,Porto Murtinho / Bonito,Geológico e ecológico,Rochas mais antigas do território.,"Estrada MS-382, no limite entre Porto Murtinho e Bonito",ponto,georreferenciado,-21.051944444444445,-56.87694444444445,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-02,2,Morraria do Puga,Corumbá,Geológico,Registro da glaciação neoproterozoica e relação com a teoria da Terra Bola de Neve.,"Morro do Puga, margem direita do rio Paraguai, 6 km a jusante de Porto Esperança",ponto,georreferenciado,-19.622222222222224,-57.52777777777778,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,Sim,037,Registro SIGEP identificado,https://sigep.eco.br/sitio037/sitio037.pdf
DEC12897-03,3,Anticlinal Anhumas,Bonito,Geológico,"Evidências de atividade glacial, incluindo seixos associados a icebergs.","Estrada MS-382, município de Bonito",ponto,georreferenciado,-21.15,-56.6,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-04,4,Mina Urucum-Vale,Corumbá,Geológico,Sedimentação química em ambiente glácio-marinho e grandes reservas de hematita e itabirita.,"Mina Urucum-Vale, município de Corumbá",ponto,georreferenciado,-19.179722222222225,-57.506388888888885,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-05,5,Antiga Mina dos Belgas,Corumbá,Geológico e histórico,Registro da mineração de manganês na antiga Mina dos Belgas.,"Antiga Mina dos Belgas, atual complexo da Mina Urucum-Vale",ponto,georreferenciado,-19.09805555555556,-57.496944444444445,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-06,6,Afloramentos da Formação Cerradinho,Bonito / Porto Murtinho,Geológico,Evidências da separação de Rodínia e da abertura de oceano na região.,"Estrada MS-382, em Bonito, próximo ao limite com Porto Murtinho",ponto,georreferenciado,-21.051944444444445,-56.87694444444445,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-07,7,Paleomar do Tamengo,Bonito,Geológico,Calcário formado em ambiente marinho raso de plataforma.,"Estrada MS-382, município de Bonito",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-08,8,Porto Morrinho,Corumbá,Geológico e paleontológico,Ocorrência de estromatólitos.,"Porto Morrinho, margem direita do rio Paraguai, próximo ao pedágio da BR-262",ponto,georreferenciado,-19.50638888888889,-57.43111111111111,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-09,9,Morraria do Sul,Bodoquena,"Geológico, paleontológico, paisagístico e cultural",Estromatólitos e mirante do Pantanal do Nabileque.,"Distrito de Morraria do Sul, município de Bodoquena",ponto,georreferenciado,-20.54277777777778,-56.89527777777778,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-10,10,"Pedreira Saladeiro, Porto Sobramil",Corumbá,Geológico e paleontológico,Fósseis de Cloudina e Corumbella werneri.,"Porto Sobramil, margem direita do rio Paraguai, município de Corumbá",ponto,georreferenciado,-18.999166666666667,-57.61972222222222,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-11,11,Gruta do Lago Azul,Bonito,"Geológico, paleontológico, ecológico, paisagístico e cultural",Fauna troglóbia e registros de megafauna pleistocênica.,Município de Bonito,ponto,georreferenciado,-21.144765854,-56.591259003,"GEOSSIT, registro 964",coordenada oficial do registro GEOSSIT,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,A confirmar,,Relação com inventários SGB identificada. Número SIGEP não consolidado nesta versão.,https://www.sgb.gov.br/geossit/
DEC12897-12,12,Gruta Nossa Senhora Aparecida,Bonito,"Geológico, paleontológico, ecológico, paisagístico e cultural",Ocorrência de fósseis pleistocênicos.,Município de Bonito,ponto,georreferenciado,-21.09055555555556,-56.57416666666667,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-13,13,Gruta de São Miguel,Bonito,"Geológico, ecológico e paisagístico","Espeleotemas, incluindo estalactites e estalagmites.",Município de Bonito,ponto,georreferenciado,-21.106944444444444,-56.58111111111111,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-14,14,Abismo Anhumas,Bonito,"Geológico, ecológico e paisagístico",Cones calcários de relevância internacional.,Município de Bonito,ponto,georreferenciado,-21.15,-56.6,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
