referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
0,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
0,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,regra_curada,alta,https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos
1,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
1,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,regra_curada,alta,https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf
2,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://orcid.org/0000-0002-1446-2252
2,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://orcid.org/0000-0002-1446-2252
2,"Projeto, equipe e PRICI",potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0002-1446-2252
2,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,vinculo_contextual,contextual,https://orcid.org/0000-0002-1446-2252
3,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://www.uems.br/ppg/ppgdrs/Corpo-Docente
3,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://www.uems.br/ppg/ppgdrs/Corpo-Docente
3,"Projeto, equipe e PRICI",potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,vinculo_contextual,contextual,https://www.uems.br/ppg/ppgdrs/Corpo-Docente
3,"Projeto, equipe e PRICI",polos_estruturantes_itinerarios_culturais_250km2,Estruturação territorial para itinerários culturais — 250 km²,analise,vinculo_contextual,contextual,https://www.uems.br/ppg/ppgdrs/Corpo-Docente
4,"Projeto, equipe e PRICI",rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
4,"Projeto, equipe e PRICI",indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,vinculo_contextual,contextual,https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes
