hex_id,ipg_base,classe_base,rank_base,rank_min,rank_mediana,rank_max,estabilidade_classe_pct,estabilidade_nucleo_pct,simulacoes,variacao_pesos
IPG--10--5,70.37,alto,1,1,1.0,1,100.0,100.0,500,±20% com renormalização
IPG--25-11,64.3,alto,2,2,3.0,7,99.6,99.6,500,±20% com renormalização
IPG--9-16,64.21,alto,3,2,3.0,6,100.0,100.0,500,±20% com renormalização
IPG--11--3,63.83,alto,4,3,4.0,6,100.0,100.0,500,±20% com renormalização
IPG--9-17,63.68,alto,5,3,5.0,6,100.0,100.0,500,±20% com renormalização
IPG--7-8,63.33,alto,6,2,6.0,7,96.6,96.6,500,±20% com renormalização
IPG--10--4,62.95,alto,7,2,7.0,7,100.0,100.0,500,±20% com renormalização
IPG--13--4,54.97,médio,8,8,8.0,9,100.0,0.0,500,±20% com renormalização
IPG--10--6,54.08,médio,9,8,9.0,9,100.0,0.0,500,±20% com renormalização
IPG--24-10,52.34,médio,10,10,10.0,11,100.0,0.0,500,±20% com renormalização
IPG--15-8,50.15,médio,11,10,11.0,13,100.0,0.0,500,±20% com renormalização
IPG--13--1,49.7,médio,12,11,12.0,12,100.0,0.0,500,±20% com renormalização
IPG--8-12,48.73,médio,13,12,13.0,13,100.0,0.0,500,±20% com renormalização
IPG--8-10,46.29,médio,14,14,14.0,16,100.0,0.0,500,±20% com renormalização
IPG--8-15,45.49,médio,15,14,15.0,18,100.0,0.0,500,±20% com renormalização
IPG--19-11,45.06,médio,16,15,16.0,18,100.0,0.0,500,±20% com renormalização
IPG--15-9,44.99,médio,17,14,17.0,21,100.0,0.0,500,±20% com renormalização
IPG--9-15,44.05,médio,18,16,18.0,20,100.0,0.0,500,±20% com renormalização
IPG--8--7,43.47,médio,19,15,19.0,25,98.8,0.0,500,±20% com renormalização
IPG--19-12,43.32,médio,20,18,19.0,20,100.0,0.0,500,±20% com renormalização
IPG--8-14,42.4,médio,21,18,21.0,23,100.0,0.0,500,±20% com renormalização
IPG--8-11,41.32,médio,22,21,22.0,23,100.0,0.0,500,±20% com renormalização
IPG--8-13,41.32,médio,23,22,23.0,24,100.0,0.0,500,±20% com renormalização
IPG--11--4,40.53,médio,24,21,24.0,30,94.4,0.0,500,±20% com renormalização
IPG--7-9,39.78,baixo,25,24,25.0,27,65.6,0.0,500,±20% com renormalização
IPG--18-11,38.8,baixo,26,25,26.0,30,95.8,0.0,500,±20% com renormalização
IPG--9-18,38.6,baixo,27,25,27.0,29,95.8,0.0,500,±20% com renormalização
IPG--7--13,37.86,baixo,28,24,28.0,31,91.6,0.0,500,±20% com renormalização
IPG--11-7,37.25,baixo,29,25,30.0,32,96.8,0.0,500,±20% com renormalização
IPG--8-8,37.25,baixo,30,28,30.0,32,100.0,0.0,500,±20% com renormalização
IPG--6-2,36.63,baixo,31,28,31.0,33,99.6,0.0,500,±20% com renormalização
IPG--10--7,36.36,baixo,32,28,32.0,34,100.0,0.0,500,±20% com renormalização
IPG--9--5,36.36,baixo,33,29,33.0,35,100.0,0.0,500,±20% com renormalização
IPG-0-18,35.98,baixo,34,31,34.0,34,100.0,0.0,500,±20% com renormalização
IPG--11-20,34.34,baixo,35,33,35.0,35,100.0,0.0,500,±20% com renormalização
IPG--20-10,33.09,baixo,36,36,36.0,40,100.0,0.0,500,±20% com renormalização
IPG--22-6,32.2,baixo,37,36,37.0,39,100.0,0.0,500,±20% com renormalização
IPG--15-0,32.2,baixo,38,37,38.0,40,100.0,0.0,500,±20% com renormalização
IPG--13--2,32.2,baixo,39,38,39.0,41,100.0,0.0,500,±20% com renormalização
IPG--9--8,32.2,baixo,40,39,40.0,42,100.0,0.0,500,±20% com renormalização
IPG--29-21,30.46,baixo,41,37,41.0,41,100.0,0.0,500,±20% com renormalização
IPG--14-17,30.46,baixo,42,38,42.0,42,100.0,0.0,500,±20% com renormalização
IPG--18-17,27.42,baixo,43,43,43.0,44,100.0,0.0,500,±20% com renormalização
IPG--12-5,27.42,baixo,44,44,44.0,45,100.0,0.0,500,±20% com renormalização
IPG--22-21,24.8,baixo,45,45,46.0,46,100.0,0.0,500,±20% com renormalização
IPG--18-15,24.8,baixo,46,46,47.0,47,100.0,0.0,500,±20% com renormalização
IPG--14-0,24.7,baixo,47,43,45.0,51,100.0,0.0,500,±20% com renormalização
IPG--24-12,24.13,baixo,48,47,48.0,48,100.0,0.0,500,±20% com renormalização
IPG--22-13,24.13,baixo,49,48,49.0,49,100.0,0.0,500,±20% com renormalização
IPG--7-4,23.51,baixo,50,49,50.0,53,100.0,0.0,500,±20% com renormalização
IPG--6-0,23.51,baixo,51,50,51.0,54,100.0,0.0,500,±20% com renormalização
IPG--24-9,20.53,baixo,52,50,52.0,52,68.6,0.0,500,±20% com renormalização
IPG--22-7,20.53,baixo,53,51,53.0,53,68.6,0.0,500,±20% com renormalização
IPG--12--5,20.53,baixo,54,52,54.0,54,68.6,0.0,500,±20% com renormalização
IPG--18-6,16.36,muito baixo,55,55,55.0,55,100.0,0.0,500,±20% com renormalização
