id,name,group,mode,kind,local_file,records,no_geometry,outside_r5,bad_geometry,dataStatus,source_id
municipios_sedes,Sedes municipais e população estimada 2025,territorio,embedded,local-vector,dados/municipios_sedes.js,79,0,0,0,incorporada no pacote,SRC-e05d5cf87e893d87
hexagonos_territoriais_250km2_v1_8_0,Malha territorial mestra de MS — 250 km² ajustada ao limite estadual,territorio,derived,session-derived,,,,,,operação avançada · gerada somente por solicitação explícita a partir do limite oficial IBGE e armazenada localmente após captura,SRC-9c949923ba7dec9b
limite_estadual_ibge_2025,Limite estadual oficial de Mato Grosso do Sul — IBGE,territorio,derived,session-derived,,,,,,captura avançada explícita da Malha Municipal Digital 2025 do IBGE; API v4 disponível apenas como contingência,SRC-1b4ce15143edbd1f
malha_itinerarios_250km2,Malha territorial validada de MS — 250 km² · 1554 células · corte 10/08/2026,analise,embedded,local-vector,dados/malha_itinerarios_snapshot_2026_08_10.js,1554,0,0,0,snapshot local validado · corte 10/08/2026 · recorte no limite oficial de MS,SRC-JOAJU-MALHA-SNAPSHOT-20260809
municipios_limites,Limites municipais,territorio,arcgis,local-vector,dados/materializados/2026_08_10/municipios_limites.js,79,0,0,0,capturável sob demanda,SRC-d403abd9695ce8e5
localidades_aglomerados,Sedes e aglomerados rurais e urbanos,territorio,arcgis,local-vector,dados/materializados/2026_08_10/localidades_aglomerados.js,103,0,0,0,capturável sob demanda,SRC-76ea0299c1c80967
localidades_populacoes,Localidades e populações consolidadas,territorio,embedded,local-vector,dados/localidades_populacoes.js,624,0,0,0,incorporada no pacote,SRC-782ebdf254791009
localidades_ibge_completas,Localidades completas do IBGE,territorio,ibgezip,local-vector,dados/materializados/2026_08_10/localidades_ibge_completas.js,1673,0,1117,0,processamento sob demanda,SRC-ce9a2be84ec8ee88
assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,territorio,arcgis,local-vector,dados/materializados/2026_08_10/assentamentos_rurais_incra.js,396,0,235,0,capturável sob demanda,SRC-7bef410a600c2fd0
localidades_indigenas_ibge,Aldeias e localidades indígenas,comunidades,embedded,local-vector,dados/localidades_indigenas_ibge.js,518,0,1,0,incorporada no pacote,SRC-3b5df96b8968374e
localidades_quilombolas_ibge,Comunidades e localidades quilombolas,comunidades,embedded,local-vector,dados/localidades_quilombolas_ibge.js,27,0,1,0,incorporada no pacote,SRC-bb0e2a8216dadfa1
terras_indigenas_poligonos,Terras indígenas e fases administrativas,comunidades,arcgis,local-vector,dados/materializados/2026_08_10/terras_indigenas_poligonos.js,52,0,4,0,capturável sob demanda,SRC-e5a2080feb1315b2
municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,mobilidade,embedded,local-vector,dados/municipios_pontos_fronteira_alfandegados.js,4,0,0,0,incorporada no pacote,SRC-d2fdfbe383a78797
retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,patrimonio,embedded,local-vector,dados/retirada_laguna_nodos_municipais.js,6,0,0,0,incorporada no pacote,SRC-5732648fc3d6f671
territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,comunidades,arcgis,local-vector,dados/materializados/2026_08_10/territorios_quilombolas_poligonos.js,11,0,2,0,capturável sob demanda,SRC-708c17ef68bda821
rodovias_estaduais,Rodovias estaduais,infra,arcgis,local-vector,dados/materializados/2026_08_10/rodovias_estaduais.js,125,0,0,0,capturável sob demanda,SRC-0f2d96aa5bf34410
rodovias_federais,Rodovias federais,infra,arcgis,local-vector,dados/materializados/2026_08_10/rodovias_federais.js,16,0,0,0,capturável sob demanda,SRC-ce849606717c1c75
estradas_vicinais,Estradas vicinais,infra,arcgis,local-vector,dados/materializados/2026_08_10/estradas_vicinais.js,18857,0,13,0,capturável sob demanda,SRC-f25b95998866569f
rede_hidrica,Rede hídrica,infra,arcgis,remote-capture,,,,,,capturável sob demanda,SRC-220eb8b19499bb29
bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,embedded,local-vector,dados/bcr_bens_culturais_ms.js,10,0,0,0,incorporada no pacote,SRC-1719748f58c0aa5c
sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,arcgis,local-vector,dados/materializados/2026_08_10/sitios_arqueologicos_pontos.js,870,0,446,0,capturável sob demanda,SRC-736bcbff4d19d0e6
sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,arcgis,local-vector,dados/materializados/2026_08_10/sitios_arqueologicos_poligonos.js,445,0,380,0,capturável sob demanda,SRC-4eb00d84b14d6756
escolas,Escolas · Censo Escolar INEP 2025,educacao,external,local-vector,dados/materializados/2026_08_10/escolas.js,1761,0,0,0,snapshot local 2025 · corte 2026-08-10 · cobertura posicional 89.6%,SRC-fd05bb178ce6f8cd
campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",educacao,overpass,local-vector,dados/materializados/2026_08_10/campus_ensino_superior.js,345,0,259,0,captura preliminar sujeita a validação,SRC-ca2cdc173fadedba
geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,embedded,local-vector,dados/geodiversidade_candidatos.js,1,0,0,0,incorporada no pacote,SRC-e1028d96d763d870
geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,embedded,local-vector,dados/geossit_registros_ms.js,8,0,0,0,incorporada no pacote,SRC-b33fd07c96bac03f
