codigo,nome,municipio,melhor_candidato,score,score_nome,score_endereco,margem,motivo
"50011782","EMEI RENATO RIVEIRA","Água Clara","","","","","","sem candidato nominal"
"50011790","EM ISOLINO CANDIDO DIAS - POLO","Água Clara","","","","","","sem candidato nominal"
"50026941","EMEI - IRMA OLGA SALIM DAULIB","Água Clara","","","","","","sem candidato nominal"
"50027697","CENTRO DE EDUCACAO ESPECIAL GENTE FELIZ","Água Clara","CENTRO EDUCACIONAL CAMILO QUEIROZ","0.4042","0.4516","0.4779","0.4042","abaixo do limiar ou ambíguo"
"50034081","CENTRO DE EDUCACAO INFANTIL DANIELA DE ARAUJO FELICIO","Água Clara","","","","","","sem candidato nominal"
"50034421","INSTITUTO EDUCACIONAL CECILIA MEIRELES","Água Clara","INST EDUC CECILIA MEIRELES","0.6442","0.7556","0.6761","0.1978","abaixo do limiar ou ambíguo"
"50035223","EMEC EVA DE FREITAS MATHIAS","Água Clara","ESCOLA MUNICIPAL DO CAMPI EVA FREITAS NATHIAS","0.541","0.6829","0.4522","0.541","abaixo do limiar ou ambíguo"
"50035908","CENTRO EDUCACIONAL MARIA SOCORRO DA SILVA FAUSTINO","Água Clara","CENTRO EDUCACIONAL CAMILO QUEIROZ","0.4642","0.5","0.5932","0.4642","abaixo do limiar ou ambíguo"
"50029690","CENTRO DE EDUCACAO ESPECIAL DE ALCINOPOLIS - CEDEAL","Alcinópolis","","","","","","sem candidato nominal"
"50015109","ESCOLA ESPECIAL RENASCER","Amambai","","","","","","sem candidato nominal"
"50025074","EM PROFª MARIA BATAGLIN MACHADO","Amambai","","","","","","sem candidato nominal"
"50027085","CEI - DEBORAH ALMEIDA BARROS QUINZANI","Amambai","","","","","","sem candidato nominal"
"50029010","EM POLO INDIGENA MBO ERENDA TUPA I NANDEVA","Amambai","ESCOLA MUNICIPAL POLO INDIGENA MB ERENDA TUPA NANDEVA","0.6754","0.9189","0.4065","0.2272","abaixo do limiar ou ambíguo"
"50029029","ESCOLA MUNICIPAL MARLENE VILARINHO DE ALBUQUERQUE","Amambai","EM MARLENE VILARINHO","0.6569","0.7317","0.7816","0.2315","abaixo do limiar ou ambíguo"
"50029037","EM MITA RORY","Amambai","","","","","","sem candidato nominal"
"50029843","ESCOLA MUNICIPAL AYRTON SENNA DA SILVA","Amambai","ESCOLA AYRTON SENNA","0.6317","0.8","0.5217","0.1015","abaixo do limiar ou ambíguo"
"50030370","EE INDIGENA MBO EROY GUARANI KAIOWA","Amambai","ESCOLA MUNICIPAL POLO INDIGENA MBOEROY GUARANI KAIOWA","0.705","1","0.4615","0.1318","conflito de dependência administrativa"
"50036017","ESCOLA MUNICIPAL NOVO HORIZONTE","Amambai","ESCOLA MUNICIPAL","0.4937","0.6829","0.2703","0.0205","abaixo do limiar ou ambíguo"
"50036122","CEI ROSA MARIA OSORSKI","Amambai","","","","","","sem candidato nominal"
"50066811","CEI - PEQUENO APRENDIZ","Amambai","","","","","","sem candidato nominal"
"50001078","ESCOLA MUNICIPAL CIVICO-MILITAR TEODORO RONDON","Anastácio","ESCOLA ESTADUAL TEODORO RONDON","0.777","1","0.7385","0.3564","conflito de dependência administrativa"
"50001094","EE DEP CARLOS SOUZA MEDEIROS","Anastácio","","","","","","sem candidato nominal"
"50001108","EE ROBERTO SCAFF","Anastácio","","","","","","sem candidato nominal"
"50001116","EE CIVICO MILITAR MARIA CORREA DIAS","Anastácio","","","","","","sem candidato nominal"
"50001361","ESCOLA- POLO MUNICIPAL RURAL NOVO PROGRESSO","Anastácio","ESCOLA POLO MUNICIPAL ARACY MOREIRA DOS","0.4418","0.5797","0.3168","0.046","abaixo do limiar ou ambíguo"
"50001469","ESCOLA -POLO MUNICIPAL RURAL SAO MANOEL","Anastácio","ESCOLA POLO MUNICIPAL ARACY MOREIRA DOS","0.4549","0.5846","0.3556","0.0374","abaixo do limiar ou ambíguo"
"50001515","INSTITUTO EDUCACIONAL DE ANASTACIO","Anastácio","ESCOLA EDUCACIONAL ANASTACIO","0.556","0.6545","0.5778","0.556","abaixo do limiar ou ambíguo"
"50024078","ESCOLA MUNICIPAL JOSEFA MARIA DA CONCEICAO - DONA ZEFA","Anastácio","ESCOLA MUNICIPAL JARDIM INDEPENDENCIA","0.396","0.4675","0.4082","0.0199","abaixo do limiar ou ambíguo"
"50028316","CENTRO DE EDUCACAO INFANTIL JARDIM INDEPENDENCIA","Anastácio","ESCOLA MUNICIPAL JARDIM INDEPENDENCIA","0.6487","0.8182","0.5439","0.1409","abaixo do limiar ou ambíguo"
"50052802","CAOECS- CENTRO DE APOIO E ORIENTACAO ESPECIALIZADO CAMINHOS DO SABER- APAE ANASTACIO","Anastácio","","","","","","sem candidato nominal"
"50072951","CEI PROFª EDNAI PAIM AGUILLERA","Anastácio","","","","","","sem candidato nominal"
"50012800","EMR LUCIANO DA COSTA LIMA","Anaurilândia","","","","","","sem candidato nominal"
"50024639","ESCOLA DE EDUC ESP CAMINHO DA ESPERANCA","Anaurilândia","","","","","","sem candidato nominal"
"50026267","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL PROFESSOR PAULO NEY","Anaurilândia","ESCOLA MUNICIPAL PROFESSOR PAULO NEY","0.6338","0.75","0.6494","0.2497","abaixo do limiar ou ambíguo"
"50027000","EMEI RISQUE E RABISQUE-POLO","Anaurilândia","E MUN DE ED INFANTIL RISQUE E RABISQUE","0.5847","0.6667","0.6591","0.5847","abaixo do limiar ou ambíguo"
"50032380","CAEE - CAMINHO DA ESPERANCA","Anaurilândia","","","","","","sem candidato nominal"
"50019473","EE SEN FILINTO MULLER","Angélica","","","","","","sem candidato nominal"
"50019511","EMEIEF NAPOLEAO BATISTA ALBUQUERQUE","Angélica","ESCOLA NAPOLEAO BATISTA","0.6599","0.7179","0.8261","0.6599","abaixo do limiar ou ambíguo"
"50029002","CEI - TEMPO FELIZ","Angélica","CEI NOVO TEMPO","0.418","0.5217","0.3636","0.418","abaixo do limiar ou ambíguo"
"50033034","EMEIEF MAURO FASCINCANI","Angélica","","","","","","sem candidato nominal"
"50034332","CENTRO DE EDUCACAO INFANTIL CANTINHO DO CEU","Angélica","","","","","","sem candidato nominal"
"50019520","EE LUIS VAZ DE CAMOES","Angélica","ESCOLA ESTADUAL LUIZ VAZ DE CAMOES","0.5759","0.8333","0.2278","0.5759","abaixo do limiar ou ambíguo"
"50023993","CENTRO DE EDUCACAO ESPECIAL VALQUIRIA ARRUDA DA SILVA","Angélica","","","","","","sem candidato nominal"
"50015311","ESCOLA MUNICIPAL MAIKA SANABRIA PINHEIRO","Antônio João","","","","","","sem candidato nominal"
"50026445","CENTRO DE EDUCACAO INFANTIL MUNDO ENCANTADO","Antônio João","CEI MUNDO ENCANTADO","0.6673","0.7647","0.7429","0.2865","abaixo do limiar ou ambíguo"
"50026453","CENTRO DE EDUCACAO INFANTIL DONA LILI","Antônio João","CEI DONA LILI","0.6076","0.6667","0.747","0.1951","abaixo do limiar ou ambíguo"
"50030914","CENTRO DE EDUCACAO ESPECIAL SEMENTE DE LUZ - APAE","Antônio João","","","","","","sem candidato nominal"
"50035401","CENTRO DE EDUCACAO INFANTIL PROFESSORA LUCILA DE ALMEIDA","Antônio João","EDUCACAO INFANTIL ALINE ESPINDOLA MARQUES","0.4952","0.4615","0.8039","0.0041","abaixo do limiar ou ambíguo"
"50024655","ESCOLA MUNICIPAL MBO EROY TUPA I ARANDU RENOI","Antônio João","ESCOLA MBOEROY TUPAI ARANDU RENOI","0.7297","0.9302","0.5882","0","abaixo do limiar ou ambíguo"
"50011006","CENTRO EDUC DE APARECIDA DO TABOADO - APAE","Aparecida do Taboado","","","","","","sem candidato nominal"
"50011014","CENTRO MUNICIPAL DE EDUCACAO INFANTIL - CMEI ADELICE BERNARDES DE MELO","Aparecida do Taboado","CRECHE E PRE ESCOLA ADELICE BERNARDES","0.6379","0.7143","0.75","0.6379","abaixo do limiar ou ambíguo"
"50026992","ESCOLA MUNICIPAL PROFESSOR JESUS JOSE DE SOUZA","Aparecida do Taboado","ESCOLA MUNICIPAL DE 1 GRAU PROFESSOR JES","0.5729","0.6774","0.5882","0.1197","abaixo do limiar ou ambíguo"
"50027689","ESCOLA RECANTO","Aparecida do Taboado","ESCOLA RECANTO OBJETIVO","0.66","0.75","0.75","0.2609","abaixo do limiar ou ambíguo"
"50031678","CMEI - PROFESSORA ROSALIA QUEIROZ DE OLIVEIRA","Aparecida do Taboado","","","","","","sem candidato nominal"
"50032690","CENTRO INTEGRADO SESI - SENAI APARECIDA DO TABOADO","Aparecida do Taboado","","","","","","sem candidato nominal"
"50032941","ESCOLA DO SESI APARECIDA DO TABOADO","Aparecida do Taboado","","","","","","sem candidato nominal"
"50034588","CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DE APARECIDA DO TABOADO - MS","Aparecida do Taboado","","","","","","sem candidato nominal"
"50001582","ESCOLA MUNICIPAL CORONEL ANTONIO TRINDADE","Aquidauana","ESCOLA MUNICIPAL DE 1GRAU ANTONIO SANTOS","0.4704","0.6364","0.2917","0.0139","abaixo do limiar ou ambíguo"
"50001663","EE CEL JOSE ALVES RIBEIRO","Aquidauana","","","","","","sem candidato nominal"
"50001671","EE PROFª MARLY RUSSO RODRIGUES","Aquidauana","ESCOLA MARLI RUSSO RODRIGUES","0.6078","0.8","0.4301","0.6078","abaixo do limiar ou ambíguo"
"50001698","EE PROFª DORIS MENDES TRINDADE","Aquidauana","","","","","","sem candidato nominal"
"50001752","CENTRO DE EDUCACAO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA","Aquidauana","CENTRO DE EDUCACAO PROF IRENE CICALISE","0.4227","0.5102","0.4091","0.4227","abaixo do limiar ou ambíguo"
"50001850","INSTITUTO EDUCACIONAL FALCAO","Aquidauana","","","","","","sem candidato nominal"
"50021990","EE MAL DEODORO DA FONSECA","Aquidauana","","","","","","sem candidato nominal"
"50026844","ESCOLA MUNICIPAL POLO PANTANEIRA","Aquidauana","ESCOLA MUNICIPAL DE 1GRAU ANTONIO SANTOS","0.4567","0.5806","0.3721","0.0221","abaixo do limiar ou ambíguo"
"50027719","CMEI BEZERRA DE MENEZES","Aquidauana","","","","","","sem candidato nominal"
"50031066","CENTRO MUNICIPAL EM ALFABETIZACAO ROTARY CLUB","Aquidauana","ESCOLA ESTADUAL ROTARY CLUB","0.5764","0.6667","0.7619","0.062","conflito de dependência administrativa"
"50031074","CMEI MARISA NOGUEIRA ROSA SCAFF","Aquidauana","","","","","","sem candidato nominal"
