id,name,mode,source,license_declarada,conteudo_local_no_pacote,modo_de_distribuicao,verificacao_juridica,observacao
municipios_sedes,Sedes municipais e população estimada 2025,embedded,IBGE e compilação municipal do projeto,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
hexagonos_territoriais_250km2_v1_8_0,Malha territorial mestra de MS — 250 km² ajustada ao limite estadual,derived,IBGE — Malha Municipal Digital 2025 de Mato Grosso do Sul. O aplicativo compõe os polígonos municipais oficiais para formar o limite estadual e usa a API de Malhas Geográficas v4 apenas como contingência.,não declarada na configuração,não,produto derivado pelo código do projeto,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
limite_estadual_ibge_2025,Limite estadual oficial de Mato Grosso do Sul — IBGE,derived,"IBGE — Malha Municipal Digital 2025, Mato Grosso do Sul. Limite estadual derivado do conjunto oficial MS_Municipios_2025. API de Malhas Geográficas v4 usada apenas como contingência.",não declarada na configuração,não,produto derivado pelo código do projeto,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
malha_itinerarios_250km2,Malha territorial validada de MS — 250 km² · 1554 células · corte 10/08/2026,embedded,JOAJU MS · malha analítica de 250 km² materializada em 10/08/2026 e recortada geometricamente no limite oficial de Mato Grosso do Sul. Fonte do limite: IBGE — Malha Municipal Digital 2025.,não declarada na configuração,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
municipios_limites,Limites municipais,arcgis,PIN MS e IMASUL,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
localidades_aglomerados,Sedes e aglomerados rurais e urbanos,arcgis,PIN MS e AGRAER,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
localidades_populacoes,Localidades e populações consolidadas,embedded,IBGE e núcleo local consolidado e incorporado na v1.8.0-dev,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
localidades_ibge_completas,Localidades completas do IBGE,ibgezip,IBGE Localidades do Brasil 2022,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
assentamentos_rurais_incra,Assentamentos rurais da reforma agrária,arcgis,"INCRA, projetos de assentamento publicados no PAMGIA IBAMA",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
localidades_indigenas_ibge,Aldeias e localidades indígenas,embedded,"IBGE Censo Demográfico 2022, atualização de 19 de setembro de 2025",CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
localidades_quilombolas_ibge,Comunidades e localidades quilombolas,embedded,"IBGE Censo Demográfico 2022, arquivo de 10 de julho de 2024",CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
terras_indigenas_poligonos,Terras indígenas e fases administrativas,arcgis,FUNAI. Polígonos oficiais e fases administrativas. Serviço sincronizado pelo PAMGIA IBAMA,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
municipios_pontos_fronteira_alfandegados,Municípios com pontos alfandegados de fronteira,embedded,Receita Federal do Brasil e sedes municipais IBGE. Os pontos representam municípios e não a localização exata dos postos,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,embedded,Decreto Estadual nº 12.897 de 2009 e sedes municipais IBGE. Não constitui uma linha oficial de rota,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,arcgis,"INCRA, camada sincronizada pelo PAMGIA IBAMA",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rodovias_estaduais,Rodovias estaduais,arcgis,"PIN MS, AGRAER e AGESUL",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rodovias_federais,Rodovias federais,arcgis,PIN MS e DNIT,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
estradas_vicinais,Estradas vicinais,arcgis,PIN MS e AGRAER,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
