hex_id,q,r,area_nominal_km2,centroide_lon,centroide_lat,__atlas_label,__atlas_color,ipg_100,classe_ipg,nucleo_territorial_candidato,n_temas,temas_presentes,n_complexos,complexos_presentes,n_unidades,diversidade_Dn,riqueza_Q,riqueza_Qn,vizinhos_ativos,continuidade_Cn,cobertura_inventario,confianca_documental,fator_evidencia_medio,proporcao_fontes_oficiais,ativacao_geocientifica_documentada,municipio_ativacao,marcos_ativacao,anos_ativacao,tipos_ativacao,pioneirismo_ativacao,qualificador_territorial,prioridade_validacao,viabilidade_geoparque,formula,metodo_continuidade,interpretacao,fonte_limite_operacional,versao_metodo
IPG--32-22,-32,22,250,-57.860153,-17.54353,IPG--32-22 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--31-20,-31,20,250,-57.86528,-17.809344,IPG--31-20 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--31-21,-31,21,250,-57.782642,-17.677939,IPG--31-21 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--31-22,-31,22,250,-57.700144,-17.546485,IPG--31-22 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--31-23,-31,23,250,-57.617782,-17.414983,IPG--31-23 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--30-19,-30,19,250,-57.787681,-17.94375,IPG--30-19 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--30-20,-30,20,250,-57.705027,-17.812314,IPG--30-20 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--30-21,-30,21,250,-57.622512,-17.680829,IPG--30-21 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,1,0.1667,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--30-22,-30,22,250,-57.540135,-17.549297,IPG--30-22 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,1,0.1667,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--30-23,-30,23,250,-57.457894,-17.417716,IPG--30-23 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--29-18,-29,18,250,-57.709975,-18.07812,IPG--29-18 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--29-19,-29,19,250,-57.627305,-17.946653,IPG--29-19 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,0,0.0,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--29-20,-29,20,250,-57.544774,-17.815138,IPG--29-20 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,1,0.1667,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--29-21,-29,21,250,-57.462381,-17.683575,IPG--29-21 — IPG 30.5,#d6b8f0,30.46,baixo,Não,3,Sedimentologia e processos superficiais | Geomorfologia e evolução da paisagem | Tectônica e geologia estrutural,1,Serra_Amolar,1,0.5,0.6,0.299,0,0.0,Registros espaciais documentados na Fase 3.2,moderada,0.6,0.0,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
IPG--29-22,-29,22,250,-57.380126,-17.551964,IPG--29-22 — sem evidência espacial nesta fase,#d9d9d9,,sem evidência suficiente,Não,0,,0,,0,0.0,0.0,0.0,1,0.1667,Sem registro espacial nesta fase. Não significa ausência de patrimônio geológico,não avaliada,,,Não inventariada nesta fase,,0,,,,Sem qualificador adicional nesta fase,Sem prioridade adicional,"Não avaliada. Exige matriz própria de governança, conservação, acesso, participação e gestão","IPG100 = 100 × (0,40 Dn + 0,35 Qn + 0,25 Cn)",Número de vizinhos ativos dividido por 6. A pontuação não é elevada pela ausência de células na borda,"Potencial geocientífico territorial documentado. Não demonstra valor internacional, viabilidade, governança ou reconhecimento UNESCO",Contingência local derivada das 79 sedes municipais e dos registros. O limite oficial permanece disponível no PIN MS,"Fase 3.2, Atlas v1.7.0"
